S.No,Sector,Portal Name,Portal URL,Status
1,Agriculture & Cooperation,"AGRISNET - Directorate of Agriculture &amp; Food Production, Odisha",https://agrisnetodisha.ori.nic.in/,Working
2,Agriculture & Cooperation,Academic Management System-Central Agricultural University,https://amscau.icar.gov.in/,Connection Failed
3,Agriculture & Cooperation,Academic Management System-Central Institute of Fisheries Education,https://amscife.icar.gov.in/,Connection Failed
4,Agriculture & Cooperation,Academic Management System-Indian Veterinary Research Institute,https://amsivri.icar.gov.in/,Connection Failed
5,Agriculture & Cooperation,Academic Management System-National Dairy Research Institute,https://amsndri.icar.gov.in/,Connection Failed
6,Agriculture & Cooperation,"Academic Management System-University of Horticultural Sciences, Bagalkot",https://amsuhs.icar.gov.in/,Connection Failed
7,Agriculture & Cooperation,Agri Stack Portal,https://agristack.gov.in/,Working
8,Agriculture & Cooperation,Agri-Clinics and Agri-Business Centres,https://acabcmis.gov.in/,Dead (404)
9,Agriculture & Cooperation,Agri-Exchange,https://agriexchange.apeda.gov.in/,Working
10,Agriculture & Cooperation,"Agricultural Census, New Delhi",https://agcensus.gov.in/,Working
11,Agriculture & Cooperation,Agricultural Education Portal,https://education.icar.gov.in/,Connection Failed
12,Agriculture & Cooperation,"Agricultural Engineering Department, Tamil Nadu",https://aed.tn.gov.in/ta,Working
13,Agriculture & Cooperation,"Agricultural Marketing Department, Andhra Pradesh",https://vyavasayamarketingshakha.ap.gov.in/,Working
14,Agriculture & Cooperation,"Agricultural Marketing Department, Karnataka",https://krishimaratavahini.karnataka.gov.in/,Working
15,Agriculture & Cooperation,Agricultural Meteorology Division,https://www.imdagrimet.gov.in/,Connection Failed
16,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
17,Agriculture & Cooperation,"Agricultural Scientists Recruitment Board (ASRB), New Delhi",https://asrb.org.in/,Working
18,Agriculture & Cooperation,Agricultural Scientists Recruitment Board,https://asrb.gov.in/,Working
19,Agriculture & Cooperation,Agricultural Scientists Recruitment Board (ASRB),https://oasis.asrb.gov.in/,Working
20,Agriculture & Cooperation,"Agricultural Technology Management Agency (ATMA) Directorate and SAMETI, Gujarat",https://atma.gujarat.gov.in/,Working
21,Agriculture & Cooperation,"Agriculture Department, Andhra Pradesh",https://www.apagrisnet.gov.in/,Working
22,Agriculture & Cooperation,"Agriculture Department, Karnataka",https://raitamitra.karnataka.gov.in/,Working
23,Agriculture & Cooperation,"Agriculture Department, Ladakh",https://ladakh.gov.in/agriculture,Working
24,Agriculture & Cooperation,"Agriculture Department, Sikkim",https://agri.sikkim.gov.in/,Connection Failed
